after_stage,classification,authority_tier,is_partial,rank,rider_label,team_label,nationality,time_s,gap_s,points
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,1,Remco Evenepoel,Red Bull–Bora–Hansgrohe,BEL,21580,,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,2,Mattias Skjelmose,Lidl–Trek,DEN,,1,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,3,Benoît Cosnefroy,UAE Team Emirates XRG,FRA,,119,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,4,Romain Grégoire,Groupama–FDJ United,FRA,,119,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,5,Emiel Verstrynge,Alpecin–Premier Tech,BEL,,119,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,6,Mauro Schmid,Team Jayco–AlUla,SUI,,119,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,7,Mauri Vansevenant,Soudal–Quick-Step,BEL,,119,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,8,Albert Withen Philipsen,Lidl–Trek,DEN,,119,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,9,Ewen Costiou,Groupama–FDJ United,FRA,,119,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,10,Marco Frigo,NSN Cycling Team,ITA,,119,
