after_stage,classification,authority_tier,is_partial,rank,rider_label,team_label,nationality,time_s,gap_s,points
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,1,Filippo Ganna,INEOS Grenadiers,ITA,13707,,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,2,Wout van Aert,Visma–Lease a Bike,BEL,,0,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,3,Søren Wærenskjold,Uno-X Mobility,NOR,,0,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,4,Biniam Girmay,NSN Cycling Team,ERI,,0,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,5,Laurence Pithie,Red Bull–Bora–Hansgrohe,NZL,,0,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,6,Orluis Aular,Movistar Team,VEN,,0,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,7,Christophe Laporte,Visma–Lease a Bike,FRA,,0,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,8,Jasper Philipsen,Alpecin–Premier Tech,BEL,,0,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,9,Vito Braet,Lotto–Intermarché,BEL,,0,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,10,Mads Pedersen,Lidl–Trek,DEN,,0,
