stage_number,source_id,length_km,official_km,length_delta_km,neutralised_km,assembled_parts,oriented,finish_residual_m,km0_residual_m,verdict
1,cyclingstage.com,155.758,147.000,8.758,,1,as-published,,,ACCEPTED_THIRD_PARTY
2,cyclingstage.com,219.180,221.000,-1.820,,1,as-published,,,ACCEPTED_THIRD_PARTY
3,cyclingstage.com,175.445,175.000,0.445,,1,as-published,,,ACCEPTED_THIRD_PARTY
4,cyclingstage.com,142.920,138.000,4.920,,1,as-published,,,ACCEPTED_THIRD_PARTY
5,cyclingstage.com,204.693,203.000,1.693,,1,as-published,,,ACCEPTED_THIRD_PARTY
6,cyclingstage.com,160.284,142.000,18.284,,1,as-published,,,ACCEPTED_THIRD_PARTY
7,cyclingstage.com,244.780,244.000,0.780,,1,as-published,,,ACCEPTED_THIRD_PARTY
8,cyclingstage.com,157.736,156.000,1.736,,1,as-published,,,ACCEPTED_THIRD_PARTY
9,cyclingstage.com,184.687,184.000,0.687,,1,as-published,,,ACCEPTED_THIRD_PARTY
10,cyclingstage.com,40.035,42.000,-1.965,,1,as-published,,,ACCEPTED_THIRD_PARTY
11,cyclingstage.com,178.493,195.000,-16.507,,1,as-published,,,ACCEPTED_THIRD_PARTY
12,cyclingstage.com,178.044,175.000,3.044,,1,as-published,,,ACCEPTED_THIRD_PARTY
13,cyclingstage.com,186.310,189.000,-2.690,,1,as-published,,,ACCEPTED_THIRD_PARTY
14,cyclingstage.com,132.796,133.000,-0.204,,1,as-published,,,ACCEPTED_THIRD_PARTY
15,cyclingstage.com,135.761,157.000,-21.239,,1,as-published,,,ACCEPTED_THIRD_PARTY
16,cyclingstage.com,113.247,113.000,0.247,,1,as-published,,,ACCEPTED_THIRD_PARTY
17,cyclingstage.com,200.637,202.000,-1.363,,1,as-published,,,ACCEPTED_THIRD_PARTY
18,cyclingstage.com,166.379,171.000,-4.621,,1,as-published,,,ACCEPTED_THIRD_PARTY
19,cyclingstage.com,151.502,151.000,0.502,,1,as-published,,,ACCEPTED_THIRD_PARTY
20,cyclingstage.com,199.195,200.000,-0.805,,1,as-published,,,ACCEPTED_THIRD_PARTY
21,cyclingstage.com,133.225,131.000,2.225,,1,as-published,,,ACCEPTED_THIRD_PARTY
