after_stage,classification,authority_tier,is_partial,rank,rider_label,team_label,nationality,time_s,gap_s,points
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,1,Demi Vollering,FDJ United–Suez,NED,14007,,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,2,Puck Pieterse,Fenix–Premier Tech,NED,,0,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,3,Paula Blasi,UAE Team ADQ,ESP,,3,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,4,Katarzyna Niewiadoma-Phinney,Canyon//SRAM Zondacrypto,POL,,6,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,5,Anna van der Breggen,Team SD Worx–Protime,NED,,11,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,6,Magdeleine Vallieres,EF Education–Oatly,CAN,,14,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,7,Pauline Ferrand-Prévot,Visma–Lease a Bike,FRA,,28,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,8,Niamh Fisher-Black,Lidl–Trek,NZL,,34,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,9,Isabella Holmgren,Lidl–Trek,CAN,,40,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,10,Nienke Vinke,Team SD Worx–Protime,NED,,40,
