after_stage,classification,authority_tier,is_partial,rank,rider_label,team_label,nationality,time_s,gap_s,points
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,1,Tadej Pogačar,UAE Team Emirates XRG,SLO,21028,,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,2,Paul Seixas,Decathlon CMA CGM,FRA,,45,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,3,Remco Evenepoel,Red Bull–Bora–Hansgrohe,BEL,,102,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,4,Emiel Verstrynge,Alpecin–Premier Tech,BEL,,102,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,5,Egan Bernal,INEOS Grenadiers,COL,,102,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,6,Pello Bilbao,Team Bahrain Victorious,ESP,,102,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,7,Romain Grégoire,Groupama–FDJ United,FRA,,102,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,8,Christian Scaroni,XDS Astana Team,ITA,,102,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,9,Tobias Halland Johannessen,Uno-X Mobility,NOR,,102,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,10,Filippo Zana,Soudal–Quick-Step,ITA,,102,
