after_stage,classification,authority_tier,is_partial,rank,rider_label,team_label,nationality,time_s,gap_s,points
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,1,Tadej Pogačar,UAE Team Emirates XRG,SLO,23749,,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,2,Tom Pidcock,Pinarello–Q36.5 Pro Cycling Team,GBR,,0,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,3,Wout van Aert,Visma–Lease a Bike,BEL,,4,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,4,Mads Pedersen,Lidl–Trek,DEN,,4,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,5,Corbin Strong,NSN Cycling Team,NZL,,4,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,6,Andrea Vendrame,Team Jayco–AlUla,ITA,,4,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,7,Jasper Stuyven,Soudal–Quick-Step,BEL,,4,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,8,Mathieu van der Poel,Alpecin–Premier Tech,NED,,4,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,9,Matteo Trentin,Tudor Pro Cycling Team,ITA,,4,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,10,Edoardo Zambanini,Team Bahrain Victorious,ITA,,4,
