after_stage,classification,authority_tier,is_partial,rank,rider_label,team_label,nationality,time_s,gap_s,points
8,GENERAL,TIER_2_ENCYCLOPEDIC,True,1,Jonas Vingegaard,Visma–Lease a Bike,DEN,91511,,
8,GENERAL,TIER_2_ENCYCLOPEDIC,True,2,Daniel Martínez,Red Bull–Bora–Hansgrohe,COL,,263,
8,GENERAL,TIER_2_ENCYCLOPEDIC,True,3,Georg Steinhauser,EF Education–EasyPost,GER,,367,
8,GENERAL,TIER_2_ENCYCLOPEDIC,True,4,Kévin Vauquelin,INEOS Grenadiers,FRA,,384,
8,GENERAL,TIER_2_ENCYCLOPEDIC,True,5,Lenny Martinez,Team Bahrain Victorious,FRA,,451,
8,GENERAL,TIER_2_ENCYCLOPEDIC,True,6,Marc Soler,UAE Team Emirates XRG,ESP,,549,
8,GENERAL,TIER_2_ENCYCLOPEDIC,True,7,Ion Izagirre,Cofidis,ESP,,559,
8,GENERAL,TIER_2_ENCYCLOPEDIC,True,8,Mathys Rondel,Tudor Pro Cycling Team,FRA,,623,
8,GENERAL,TIER_2_ENCYCLOPEDIC,True,9,Alex Baudin,EF Education–EasyPost,FRA,,633,
8,GENERAL,TIER_2_ENCYCLOPEDIC,True,10,Harold Tejada,XDS Astana Team,COL,,700,
8,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,1,Jonas Vingegaard,Visma–Lease a Bike,DEN,,,44
8,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,2,Valentin Paret-Peintre,Soudal–Quick-Step,FRA,,,27
8,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,3,Casper Pedersen,Soudal–Quick-Step,DEN,,,18
8,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,4,Mathis Le Berre,Team TotalEnergies,FRA,,,14
8,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,5,Lenny Martinez,Team Bahrain Victorious,FRA,,,12
8,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,6,Harold Tejada,XDS Astana Team,COL,,,11
