after_stage,classification,authority_tier,is_partial,rank,rider_label,team_label,nationality,time_s,gap_s,points
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,1,Tadej Pogačar,UAE Team Emirates XRG,SLO,17115,,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,2,Paul Seixas,Decathlon CMA CGM,FRA,,60,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,3,Isaac del Toro,UAE Team Emirates XRG,MEX,,69,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,4,Romain Grégoire,Groupama–FDJ United,FRA,,124,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,5,Gianni Vermeersch,Red Bull–Bora–Hansgrohe,BEL,,124,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,6,Jan Christen,UAE Team Emirates XRG,SUI,,127,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,7,Tom Pidcock,Pinarello–Q36.5 Pro Cycling Team,GBR,,134,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,8,Matteo Jorgenson,Visma–Lease a Bike,USA,,140,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,9,Andreas Kron,Uno-X Mobility,DEN,,226,
1,GENERAL,TIER_2_ENCYCLOPEDIC,True,10,Wout van Aert,Visma–Lease a Bike,BEL,,226,
