after_stage,classification,authority_tier,is_partial,rank,rider_label,team_label,nationality,time_s,gap_s,points
20,GENERAL,TIER_2_ENCYCLOPEDIC,True,1,Tadej Pogačar,UAE Team Emirates XRG,SLO,262424,,
20,GENERAL,TIER_2_ENCYCLOPEDIC,True,2,Remco Evenepoel,Red Bull–Bora–Hansgrohe,BEL,,386,
20,GENERAL,TIER_2_ENCYCLOPEDIC,True,3,Isaac del Toro,UAE Team Emirates XRG,MEX,,582,
20,GENERAL,TIER_2_ENCYCLOPEDIC,True,4,Paul Seixas,Decathlon CMA CGM,FRA,,716,
20,GENERAL,TIER_2_ENCYCLOPEDIC,True,5,Lenny Martinez,Team Bahrain Victorious,FRA,,782,
20,GENERAL,TIER_2_ENCYCLOPEDIC,True,6,Mattias Skjelmose,Lidl–Trek,DEN,,899,
20,GENERAL,TIER_2_ENCYCLOPEDIC,True,7,Juan Ayuso,Lidl–Trek,ESP,,1068,
20,GENERAL,TIER_2_ENCYCLOPEDIC,True,8,Richard Carapaz,EF Education–EasyPost,ECU,,1200,
20,GENERAL,TIER_2_ENCYCLOPEDIC,True,9,Tom Pidcock,Pinarello–Q36.5 Pro Cycling Team,GBR,,1768,
20,GENERAL,TIER_2_ENCYCLOPEDIC,True,10,Jordan Jegat,Team TotalEnergies,FRA,,2001,
20,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,1,Richard Carapaz,EF Education–EasyPost,ECU,,,156
20,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,2,Tadej Pogačar,UAE Team Emirates XRG,SLO,,,100
20,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,3,Valentin Paret-Peintre,Soudal–Quick-Step,FRA,,,99
20,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,4,Sepp Kuss,Visma–Lease a Bike,USA,,,55
20,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,5,Remco Evenepoel,Red Bull–Bora–Hansgrohe,BEL,,,50
20,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,6,Lenny Martinez,Team Bahrain Victorious,FRA,,,41
20,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,7,Isaac del Toro,UAE Team Emirates XRG,MEX,,,40
20,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,8,Paul Seixas,Decathlon CMA CGM,FRA,,,36
20,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,9,Tobias Halland Johannessen,Uno-X Mobility,NOR,,,29
20,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,10,Jai Hindley,Red Bull–Bora–Hansgrohe,AUS,,,28
20,POINTS,TIER_2_ENCYCLOPEDIC,True,1,Mads Pedersen,Lidl–Trek,DEN,,,527
