stage_number,roadbook_name,roadbook_category,point_category,altitude_m,climb_length_km,roadbook_km,point_km,position_residual_km,roadbook_gradient_pct,siting_note_gradient_pct,gradient_residual_pct,gradients_disagree,not_in_roadbook_climb_table
2,Côte de Begues,2,2,399,6.10,94.20,94.548,0.348,6.50,6.50,0.00,False,False
2,Côte du Château de Montjuïc,3,3,163,1.60,141.60,141.898,0.298,9.30,9.30,0.00,False,False
3,Côte de Saint Feliu de Codines,3,3,622,7.60,17.20,17.261,0.061,4.50,4.50,0.00,False,False
3,Col de Toses,1,1,1778,9.30,127.70,127.738,0.038,6.50,6.50,0.00,False,False
3,Col du Calvaire,3,3,1836,11.40,172.30,172.289,-0.011,4.10,4.10,0.00,False,False
4,Col de Bedos,4,4,485,3.40,48.20,48.406,0.206,4.40,4.40,0.00,False,False
4,Col du Paradis,3,3,622,5.90,64.90,65.011,0.111,4.10,4.10,0.00,False,False
4,Col de Coudons,2,2,883,10.80,104.90,104.954,0.054,5.50,5.50,0.00,False,False
4,Col de Montségur,2,2,1059,6.90,146.70,146.733,0.033,6.60,6.60,0.00,False,False
5,Côte de Baleix,3,3,348,1.00,132.70,132.800,0.100,8.80,8.80,0.00,False,False
6,Côte de Loucrup,4,4,528,2.00,50.90,51.020,0.120,7.10,7.10,0.00,False,False
6,Côte de Mauvezin,3,3,518,3.00,77.30,77.354,0.054,6.80,6.80,0.00,False,False
6,Col d'Aspin,1,1,1489,12.00,118.10,118.087,-0.013,6.50,6.50,0.00,False,False
6,Col du Tourmalet Souvenir Jacques Goddet,HC,HC,2115,17.10,147.80,147.790,-0.010,7.30,7.30,0.00,False,False
7,Côte de Béguey,4,4,86,1.20,137.30,137.344,0.044,4.40,4.40,0.00,False,False
8,Côte de Domme,4,4,216,3.70,102.60,102.729,0.129,3.30,3.30,0.00,False,False
8,Côte du Buisson-de-Cadouin,4,4,191,2.20,140.40,140.511,0.111,5.30,5.30,0.00,False,False
9,Côte de Naves,3,3,410,2.30,46.00,,,7.40,7.40,0.00,False,False
9,Suc au May,2,2,903,3.80,74.10,,,7.70,7.50,-0.20,True,False
9,Mont Bessou,4,4,977,0.90,130.10,,,7.30,1.20,-6.10,True,False
9,,,3,825,4.80,,,,,6.00,,True,True
10,Côte de Pailherols,3,3,1043,3.00,68.00,68.093,0.093,7.20,7.20,0.00,False,False
