stage_number,km_from_start,lon,lat,dem_count,elevation_min_m,elevation_max_m,elevation_mean_m,spread_m,sources
1,0.0000,2.2201263,41.4060995,1,8.00,8.00,8.00,0.00,COPERNICUS_GLO90
1,0.2000,2.2183978684635406,41.405608401347656,1,6.00,6.00,6.00,0.00,COPERNICUS_GLO90
1,0.4000,2.2167105306469685,41.40433041152806,1,7.00,7.00,7.00,0.00,COPERNICUS_GLO90
1,0.6000,2.21501272882331,41.403060236550516,1,6.00,6.00,6.00,0.00,COPERNICUS_GLO90
1,0.8000,2.213364907961581,41.401755211305584,1,5.00,5.00,5.00,0.00,COPERNICUS_GLO90
1,1.0000,2.211474080020221,41.40065222610014,1,6.00,6.00,6.00,0.00,COPERNICUS_GLO90
1,1.2000,2.2099022029526645,41.399300496679686,1,7.00,7.00,7.00,0.00,COPERNICUS_GLO90
1,1.4000,2.2087322452989775,41.397734490597955,1,11.00,11.00,11.00,0.00,COPERNICUS_GLO90
1,1.6000,2.207749558449104,41.396123646759285,1,7.00,7.00,7.00,0.00,COPERNICUS_GLO90
1,1.8000,2.2060493325447394,41.39485604105058,1,6.00,6.00,6.00,0.00,COPERNICUS_GLO90
1,2.0000,2.204843549552874,41.39331709910575,1,6.00,6.00,6.00,0.00,COPERNICUS_GLO90
1,2.2000,2.203420599812918,41.39190570759157,1,6.00,6.00,6.00,0.00,COPERNICUS_GLO90
1,2.4000,2.2013264083018873,41.39104320415095,1,10.00,10.00,10.00,0.00,COPERNICUS_GLO90
1,2.6000,2.1995889190891735,41.39057084070842,1,12.00,12.00,12.00,0.00,COPERNICUS_GLO90
1,2.8000,2.201103542644947,41.39184455568019,1,12.00,12.00,12.00,0.00,COPERNICUS_GLO90
1,3.0000,2.202673312503013,41.39312534999759,1,10.00,10.00,10.00,0.00,COPERNICUS_GLO90
1,3.2000,2.2027227097874764,41.394425414964736,1,5.00,5.00,5.00,0.00,COPERNICUS_GLO90
1,3.4000,2.204344269875901,41.39575030129824,1,4.00,4.00,4.00,0.00,COPERNICUS_GLO90
1,3.6000,2.205929785915777,41.396941889098755,1,7.00,7.00,7.00,0.00,COPERNICUS_GLO90
1,3.8000,2.2074283785884607,41.3983453817518,1,9.00,9.00,9.00,0.00,COPERNICUS_GLO90
1,4.0000,2.2088586065338665,41.39977378071713,1,5.00,5.00,5.00,0.00,COPERNICUS_GLO90
1,4.2000,2.2105103816497365,41.40107598689267,1,12.00,12.00,12.00,0.00,COPERNICUS_GLO90
1,4.4000,2.210869558393061,41.40234414598624,1,14.00,14.00,14.00,0.00,COPERNICUS_GLO90
1,4.6000,2.2091884716874857,41.403625658288654,1,7.00,7.00,7.00,0.00,COPERNICUS_GLO90
1,4.8000,2.20747987138075,41.404886579136836,1,10.00,10.00,10.00,0.00,COPERNICUS_GLO90
1,5.0000,2.2089618135395117,41.40615386015463,1,13.00,13.00,13.00,0.00,COPERNICUS_GLO90
1,5.2000,2.2106541659897876,41.40742812449234,1,8.00,8.00,8.00,0.00,COPERNICUS_GLO90
1,5.4000,2.2123367569193806,41.40870959019226,1,6.00,6.00,6.00,0.00,COPERNICUS_GLO90
1,5.6000,2.214029054042323,41.40998376125279,1,8.00,8.00,8.00,0.00,COPERNICUS_GLO90
