after_stage,rank,rider,cumulative_s,gap_s,stages_completed,status
1,1,J. VINGEGAARD,1307,0,1,DERIVED_REPRODUCIBLE
1,2,F. GANNA,1315,8,1,DERIVED_REPRODUCIBLE
1,3,T. POGACAR,1319,12,1,DERIVED_REPRODUCIBLE
1,4,J. AYUSO,1323,16,1,DERIVED_REPRODUCIBLE
1,5,R. EVENEPOEL,1326,19,1,DERIVED_REPRODUCIBLE
1,6,I. DEL TORO,1333,26,1,DERIVED_REPRODUCIBLE
1,7,D. PIGANZOLI,1335,28,1,DERIVED_REPRODUCIBLE
1,8,F. LIPOWITZ,1342,35,1,DERIVED_REPRODUCIBLE
1,9,T. FOSS,1345,38,1,DERIVED_REPRODUCIBLE
1,10,M. VAN DER POEL,1346,39,1,DERIVED_REPRODUCIBLE
1,11,P. SEIXAS,1346,39,1,DERIVED_REPRODUCIBLE
1,12,R. GREGOIRE,1348,41,1,DERIVED_REPRODUCIBLE
1,13,A. TIBERI,1354,47,1,DERIVED_REPRODUCIBLE
1,14,M. RICCITELLO,1357,50,1,DERIVED_REPRODUCIBLE
1,15,L. MARTINEZ,1357,50,1,DERIVED_REPRODUCIBLE
1,16,M. MATTHEWS,1358,51,1,DERIVED_REPRODUCIBLE
1,17,A. BAUDIN,1364,57,1,DERIVED_REPRODUCIBLE
1,18,T. PIDCOCK,1364,57,1,DERIVED_REPRODUCIBLE
1,19,I. VAN WILDER,1365,58,1,DERIVED_REPRODUCIBLE
1,20,T. JOHANNESSEN,1367,60,1,DERIVED_REPRODUCIBLE
1,21,T. ARENSMAN,1368,61,1,DERIVED_REPRODUCIBLE
1,22,J. JEGAT,1369,62,1,DERIVED_REPRODUCIBLE
1,23,M. VACEK,1379,72,1,DERIVED_REPRODUCIBLE
1,24,A. MOLENAAR,1379,72,1,DERIVED_REPRODUCIBLE
1,25,Y. VOISARD,1381,74,1,DERIVED_REPRODUCIBLE
1,26,K. VAUQUELIN,1381,74,1,DERIVED_REPRODUCIBLE
1,27,G. BENNETT,1383,76,1,DERIVED_REPRODUCIBLE
1,28,I. IZAGIRRE,1384,77,1,DERIVED_REPRODUCIBLE
1,29,R. GARCIA,1385,78,1,DERIVED_REPRODUCIBLE
1,30,J. ALAPHILIPPE,1392,85,1,DERIVED_REPRODUCIBLE
1,31,T. TRÆEN,1396,89,1,DERIVED_REPRODUCIBLE
1,32,G. STEINHAUSER,1397,90,1,DERIVED_REPRODUCIBLE
1,33,M. SKJELMOSE,1400,93,1,DERIVED_REPRODUCIBLE
1,34,L. VAN EETVELT,1403,96,1,DERIVED_REPRODUCIBLE
1,35,R. CARAPAZ,1403,96,1,DERIVED_REPRODUCIBLE
1,36,J. PARRA,1405,98,1,DERIVED_REPRODUCIBLE
1,37,P. CASTRILLO,1418,111,1,DERIVED_REPRODUCIBLE
1,38,J. CEPEDA,1418,111,1,DERIVED_REPRODUCIBLE
1,39,A. BALDERSTONE,1419,112,1,DERIVED_REPRODUCIBLE
1,40,C. UIJTDEBROEKS,1420,113,1,DERIVED_REPRODUCIBLE
1,41,R. DHONDT,1422,115,1,DERIVED_REPRODUCIBLE
1,42,L. PLAPP,1424,117,1,DERIVED_REPRODUCIBLE
1,43,S. KUSS,1425,118,1,DERIVED_REPRODUCIBLE
1,44,A. PARET PEINTRE,1429,122,1,DERIVED_REPRODUCIBLE
1,45,D. GEE,1430,123,1,DERIVED_REPRODUCIBLE
1,46,M. VAN GILS,1431,124,1,DERIVED_REPRODUCIBLE
1,47,M. LE BERRE,1433,126,1,DERIVED_REPRODUCIBLE
1,48,D. VAN BAARLE,1433,126,1,DERIVED_REPRODUCIBLE
1,49,S. QUINN,1435,128,1,DERIVED_REPRODUCIBLE
1,50,J. BERCKMOES,1437,130,1,DERIVED_REPRODUCIBLE
1,51,D. GODON,1437,130,1,DERIVED_REPRODUCIBLE
1,52,E. VERSTRYNGE,1438,131,1,DERIVED_REPRODUCIBLE
1,53,J. TARLING,1441,134,1,DERIVED_REPRODUCIBLE
1,54,S. HIGUITA,1445,138,1,DERIVED_REPRODUCIBLE
1,55,J. HINDLEY,1451,144,1,DERIVED_REPRODUCIBLE
1,56,M. HIRSCHI,1452,145,1,DERIVED_REPRODUCIBLE
1,57,B. MCNULTY,1453,146,1,DERIVED_REPRODUCIBLE
1,58,M. JORGENSON,1457,150,1,DERIVED_REPRODUCIBLE
1,59,C. BRAZ AFONSO,1457,150,1,DERIVED_REPRODUCIBLE
1,60,F. VAN DEN BROEK,1460,153,1,DERIVED_REPRODUCIBLE
1,61,M. HEßMANN,1463,156,1,DERIVED_REPRODUCIBLE
1,62,N. OLIVEIRA,1463,156,1,DERIVED_REPRODUCIBLE
1,63,N. BREUILLARD,1464,157,1,DERIVED_REPRODUCIBLE
1,64,M. VERCHER,1464,157,1,DERIVED_REPRODUCIBLE
1,65,A. KIRSCH,1465,158,1,DERIVED_REPRODUCIBLE
1,66,R. DEBRUYNE,1467,160,1,DERIVED_REPRODUCIBLE
1,67,Q. HERMANS,1470,163,1,DERIVED_REPRODUCIBLE
1,68,J. STUYVEN,1473,166,1,DERIVED_REPRODUCIBLE
1,69,J. ROMO,1473,166,1,DERIVED_REPRODUCIBLE
1,70,H. TEJADA,1473,166,1,DERIVED_REPRODUCIBLE
1,71,V. PARET PEINTRE,1473,166,1,DERIVED_REPRODUCIBLE
1,72,F. GROSSSCHARTNER,1481,174,1,DERIVED_REPRODUCIBLE
