stage_number,classification,holder_label
1,GENERAL,Jonas Vingegaard
1,MOUNTAINS,Tadej Pogačar
1,POINTS,Egan Bernal
1,TEAM,Netcompany INEOS
1,YOUTH,Juan Ayuso
2,GENERAL,Jonas Vingegaard
2,MOUNTAINS,Alex Molenaar
2,POINTS,Isaac del Toro
2,TEAM,UAE Team Emirates XRG
2,YOUTH,Isaac del Toro
3,GENERAL,Tadej Pogačar
3,MOUNTAINS,Alex Baudin
3,POINTS,Tadej Pogačar
3,TEAM,UAE Team Emirates XRG
3,YOUTH,Isaac del Toro
4,GENERAL,Torstein Træen
4,MOUNTAINS,Alex Baudin
4,POINTS,Mads Pedersen
4,TEAM,Lidl–Trek
4,YOUTH,Mathias Vacek
5,GENERAL,Torstein Træen
5,MOUNTAINS,Alex Baudin
5,POINTS,Mads Pedersen
5,TEAM,Lidl–Trek
5,YOUTH,Mathias Vacek
6,GENERAL,Tadej Pogačar
6,MOUNTAINS,Tadej Pogačar
6,POINTS,Mads Pedersen
6,TEAM,Lidl–Trek
6,YOUTH,Isaac del Toro
7,GENERAL,Tadej Pogačar
7,MOUNTAINS,Tadej Pogačar
7,POINTS,Mads Pedersen
7,TEAM,Lidl–Trek
7,YOUTH,Isaac del Toro
8,GENERAL,Tadej Pogačar
8,MOUNTAINS,Tadej Pogačar
8,POINTS,Mads Pedersen
8,TEAM,Lidl–Trek
8,YOUTH,Isaac del Toro
9,GENERAL,Tadej Pogačar
9,MOUNTAINS,Tadej Pogačar
9,POINTS,Mads Pedersen
9,TEAM,Lidl–Trek
9,YOUTH,Isaac del Toro
10,GENERAL,Tadej Pogačar
10,MOUNTAINS,Tadej Pogačar
10,POINTS,Mads Pedersen
10,TEAM,Lidl–Trek
10,YOUTH,Juan Ayuso
11,GENERAL,Tadej Pogačar
11,MOUNTAINS,Tadej Pogačar
11,POINTS,Mads Pedersen
11,TEAM,Lidl–Trek
11,YOUTH,Juan Ayuso
12,GENERAL,Tadej Pogačar
12,MOUNTAINS,Tadej Pogačar
12,POINTS,Mads Pedersen
12,TEAM,Lidl–Trek
12,YOUTH,Juan Ayuso
13,GENERAL,Tadej Pogačar
13,MOUNTAINS,Tadej Pogačar
13,POINTS,Mads Pedersen
13,TEAM,Lidl–Trek
13,YOUTH,Juan Ayuso
14,GENERAL,Tadej Pogačar
14,MOUNTAINS,Tadej Pogačar
14,POINTS,Mads Pedersen
14,TEAM,Lidl–Trek
14,YOUTH,Paul Seixas
15,GENERAL,Tadej Pogačar
15,MOUNTAINS,Tadej Pogačar
15,POINTS,Mads Pedersen
15,TEAM,Lidl–Trek
15,YOUTH,Isaac del Toro
16,GENERAL,Tadej Pogačar
16,MOUNTAINS,Tadej Pogačar
16,POINTS,Mads Pedersen
16,TEAM,Lidl–Trek
16,YOUTH,Isaac del Toro
17,GENERAL,Tadej Pogačar
17,MOUNTAINS,Tadej Pogačar
17,POINTS,Mads Pedersen
17,TEAM,Lidl–Trek
17,YOUTH,Isaac del Toro
18,GENERAL,Tadej Pogačar
18,MOUNTAINS,Tadej Pogačar
18,POINTS,Mads Pedersen
18,TEAM,Lidl–Trek
18,YOUTH,Isaac del Toro
19,GENERAL,Tadej Pogačar
19,MOUNTAINS,Richard Carapaz
19,POINTS,Mads Pedersen
19,TEAM,Lidl–Trek
19,YOUTH,Isaac del Toro
20,GENERAL,Tadej Pogačar
20,MOUNTAINS,Richard Carapaz
20,POINTS,Mads Pedersen
20,TEAM,Lidl–Trek
20,YOUTH,Isaac del Toro
21,GENERAL,Tadej Pogačar
21,MOUNTAINS,Richard Carapaz
21,POINTS,Mads Pedersen
21,TEAM,Lidl–Trek
21,YOUTH,Isaac del Toro
