stage_number,name,category,summit_km,summit_elev_m,length_km,avg_gradient_pct,status
1,Côte du Stade Olympique de Montjuïc,UNCLASSIFIED,19.60,104,0.80,7.00,OBSERVED_FACT
2,Côte de Begues,2,94.20,399,6.10,6.50,OBSERVED_FACT
2,Côte du Château de Montjuïc,3,141.60,163,1.60,9.30,OBSERVED_FACT
2,Côte du Château de Montjuïc,3,153.80,163,1.60,9.30,OBSERVED_FACT
2,Côte du Château de Montjuïc,3,166.00,163,1.60,9.30,OBSERVED_FACT
3,Côte de Saint Feliu de Codines,3,17.20,622,7.60,4.50,OBSERVED_FACT
3,Col de Toses,1,127.70,1778,9.30,6.50,OBSERVED_FACT
3,Col du Calvaire,3,172.30,1836,11.40,4.10,OBSERVED_FACT
3,LES ANGLES,3,195.90,1794,1.80,6.50,OBSERVED_FACT
4,Col de Bedos,4,48.20,485,3.40,4.40,OBSERVED_FACT
4,Col du Paradis,3,64.90,622,5.90,4.10,OBSERVED_FACT
4,Col de Coudons,2,104.90,883,10.80,5.50,OBSERVED_FACT
4,Col de Montségur,2,146.70,1059,6.90,6.60,OBSERVED_FACT
5,Côte de Baleix,3,132.70,348,1.00,8.80,OBSERVED_FACT
6,Côte de Loucrup,4,50.90,528,2.00,7.10,OBSERVED_FACT
6,Côte de Mauvezin,3,77.30,518,3.00,6.80,OBSERVED_FACT
6,Col d'Aspin,1,118.10,1489,12.00,6.50,OBSERVED_FACT
6,Col du Tourmalet Souvenir Jacques Goddet,HC,147.80,2115,17.10,7.30,OBSERVED_FACT
6,GAVARNIE-GÈDRE,2,186.20,1380,18.70,3.70,OBSERVED_FACT
7,Côte de Béguey,4,137.30,86,1.20,4.40,OBSERVED_FACT
8,Côte de Domme,4,102.60,216,3.70,3.30,OBSERVED_FACT
8,Côte du Buisson-de-Cadouin,4,140.40,191,2.20,5.30,OBSERVED_FACT
9,Côte de Naves,3,46.00,410,2.30,7.40,OBSERVED_FACT
9,Suc au May,2,74.10,903,3.80,7.70,OBSERVED_FACT
9,Côte de la Croix du Pey,3,98.50,817,4.80,6.00,OBSERVED_FACT
9,Mont Bessou,4,130.10,977,0.90,7.30,OBSERVED_FACT
10,Côte de Pailherols,3,68.00,1043,3.00,7.20,OBSERVED_FACT
10,Col de la Griffoul,2,97.30,1336,5.90,6.70,OBSERVED_FACT
10,Col de Prat de Bouc,3,103.80,1392,3.10,6.50,OBSERVED_FACT
10,Côte de Murat,3,118.80,1193,5.20,5.30,OBSERVED_FACT
10,Puy Mary - Pas de Peyrol,1,135.70,1589,7.80,6.00,OBSERVED_FACT
10,Col de Pertus,1,152.10,1309,4.40,8.50,OBSERVED_FACT
10,Col de Font de Cère,3,163.90,1294,3.10,5.80,OBSERVED_FACT
11,Côte de Billonnière,4,32.90,300,1.10,5.80,OBSERVED_FACT
11,Côte de Billy-Chevannes,4,123.40,360,1.50,5.00,OBSERVED_FACT
12,Côte de Lanty,4,76.50,308,2.10,4.00,OBSERVED_FACT
12,Côte de Cuzy,4,97.80,398,2.50,4.50,OBSERVED_FACT
12,Côte de Montagny-lès-Buxy,4,159.40,391,2.70,4.30,OBSERVED_FACT
13,Col des Croix,3,157.40,678,5.20,4.80,OBSERVED_FACT
13,Ballon d'Alsace,1,175.90,1173,8.80,6.90,OBSERVED_FACT
14,Grand Ballon,1,36.60,1336,21.60,4.70,OBSERVED_FACT
14,Col du Page,2,71.30,959,9.80,4.70,OBSERVED_FACT
14,Ballon d'Alsace,1,94.40,1173,8.90,6.90,OBSERVED_FACT
14,Col du Haag,1,149.40,1233,11.20,7.30,OBSERVED_FACT
15,Côte des Rousses,3,36.80,1097,6.60,5.10,OBSERVED_FACT
15,Le Salève - Col de la Croisette,1,136.00,1175,4.70,11.20,OBSERVED_FACT
15,Côte du Mont,3,146.00,823,2.10,8.30,OBSERVED_FACT
15,PLATEAU DE SOLAISON BRISON,HC,183.90,1508,11.30,9.00,OBSERVED_FACT
16,Point chrono intermédiaire n°2 / Côte de Larringes,2,9.70,799,9.70,4.30,OBSERVED_FACT
17,Côte de Bassa,4,19.20,481,1.60,5.50,OBSERVED_FACT
17,Côte de Rossillon,4,35.50,686,1.70,4.60,OBSERVED_FACT
17,Col des Près,3,49.60,1142,3.60,6.80,OBSERVED_FACT
17,Côte de Saint-Jean d'Arvey,4,59.50,611,1.20,5.70,OBSERVED_FACT
18,Côte d'Engins,1,36.70,854,11.50,5.40,OBSERVED_FACT
18,Côte de Monteynard,2,92.20,844,9.70,5.00,OBSERVED_FACT
18,Côte des Terrasses,3,112.80,836,3.40,6.60,OBSERVED_FACT
18,Côte de Saint-Léger-les-Mélèzes,3,166.20,1237,2.50,6.90,OBSERVED_FACT
18,ORCIÈRES-MERLETTE,1,185.20,1825,7.10,6.70,OBSERVED_FACT
19,Col Bayard,2,4.80,1246,4.80,7.20,OBSERVED_FACT
19,Col du Noyer,1,25.20,1664,7.20,8.50,OBSERVED_FACT
19,Col d'Ornon,2,99.20,1371,5.40,6.40,OBSERVED_FACT
19,ALPE D'HUEZ,HC,127.90,1850,13.70,8.10,OBSERVED_FACT
20,Col de la Croix de Fer,HC,33.70,2067,24.00,5.20,OBSERVED_FACT
20,Col du Télégraphe,1,87.60,1566,11.90,7.10,OBSERVED_FACT
20,Col du Galibier Souvenir Henri Desgrange,HC,110.50,2642,17.70,6.90,OBSERVED_FACT
20,Col de Sarenne,HC,156.50,1999,12.80,7.30,OBSERVED_FACT
21,Côte du Pavé des Gardes,4,43.10,180,0.70,9.70,CONFLICTING
21,Côte de la Butte Montmartre,4,46.40,128,1.00,6.50,CONFLICTING
21,Côte de la Butte Montmartre,4,62.40,128,1.00,6.50,CONFLICTING
