stage_number,kind,category,label,km_from_start,lon,lat,altitude_m,climb_length_km,avg_gradient_pct,final_straight_m,road_width_m,offset_source,status,description
1,START_REAL,,Départ réel,0.000,2.2201263090000793,41.40609953900008,,,,,,aso-arcgis,NORMALIZED_FACT,Départ réel
1,TIME_CHECK,,Chrono,5.084,2.2096700000000737,41.40669000000008,,,,,,aso-arcgis,NORMALIZED_FACT,"Point chrono : sur la Carrer de Llull, à hauteur de l'intersection avec la carrer de Provençals (installations côté gauche)."
1,TIME_CHECK,,Chrono,10.466,2.1731400000000463,41.40180000000004,,,,,,aso-arcgis,NORMALIZED_FACT,"Point chrono : sur la carrer de Mallorca, à hauteur de l'intersection avec la carrer de Nàpols (installations côté droit)."
1,TIME_CHECK,,Chrono,15.886,2.1576500000000465,41.370250000000055,,,,,,aso-arcgis,NORMALIZED_FACT,"Point chrono : sur le Passeig de Santa Madrona, à hauteur du panneau ""passage piétons"" sur la droite de la chaussée, devant le Museu d'Arqueologia de Catalunya à droite et le Teatre Lliure à gauche (installations côté droit). Pied de côte, alt. 44 m."
2,START_CEREMONIAL,,Départ fictif,,1.2378266660000463,41.12271000000004,,,,,,,NORMALIZED_FACT,Départ fictif : rambla del President Francesc Macia.
2,START_REAL,,Départ réel,0.000,1.282760000000053,41.12390000000005,,,,,,cyclingstage.com,NORMALIZED_FACT,"Départ réel : sur la N-340, à hauteur de l'hôtel Sant Jordi à droite (avant le feu tricolore)."
2,SPRINT,,Sprint,85.901,2.01431000000008,41.309330000000045,,,,,,cyclingstage.com,NORMALIZED_FACT,"Sprint : sur l'avinguda de la Generalitat (C-245), à hauteur de l'intersection avec Carrer de Santiago Rusiñol I Prats à droite (structures du côté droit)."
2,SUMMIT,2,Catégorie 2,94.548,1.9471400000000472,41.32631000100008,399,6.10,6.50,,,cyclingstage.com,NORMALIZED_FACT,"Sommet de côte : sur la BV2041, à hauteur du chemin à gauche (entrée de l'entreprise FPL EXC. Solutions S.L à gauche) précédant le panneau d'entrée de Begues. Côte de 2ème catégorie. Altitude : 399 m. Distance : 6,1 km. Pente : 6,5 %."
2,SUMMIT,3,Catégorie 3,141.898,2.1673200000000747,41.36504000000008,163,1.60,9.30,,,cyclingstage.com,NORMALIZED_FACT,"Sommet de côte : sur la Carretera de Montjuïc, 10 m avant le carrefour Carretera de Montjuïc-Avinguda del Castell. Côte de 3ème catégorie. Altitude : 163 m. Distance : 1,6 km. Pente : 9,3 %."
2,FINISH,,Arrivée/Mixte_2,168.500,2.1576400000000717,41.36456000000004,,,,700,6.00,cyclingstage.com,NORMALIZED_FACT,"Arrivée : passeig Olimpic, à l'extrémité d'une ligne droite finale de 700 m et à l'issue d'une montée de 700 m à 7%. Largeur chaussée : 6 m,"
3,START_CEREMONIAL,,Départ fictif,,2.287000001000081,41.61407000000008,,,,,,,NORMALIZED_FACT,Départ fictif
3,START_REAL,,Départ réel,0.000,2.2514900000000466,41.62440000000004,,,,,,aso-arcgis,NORMALIZED_FACT,"Départ réel : sur la C-1415b, à hauteur du panneau ""animaux sauvages sur 800m"" sur la droite de la chaussée."
3,SUMMIT,3,Catégorie 3,17.261,2.163940000000082,41.702690000000075,622,7.60,4.50,,,aso-arcgis,NORMALIZED_FACT,"Sommet de côte : sur la C-59, à hauteur du panneau ""virage serré"" sur la droite de la chaussée et du chemin menant à La Baronia à gauche. Côte de 3ème catégorie. Altitude : 622 m. Distance : 7,6 km. Pente : 4,5 %."
3,SPRINT,,Sprint,98.463,2.1690900000000397,42.229850000000056,,,,,,aso-arcgis,NORMALIZED_FACT,"Sprint : sur la N-260, avinguda de Barcelona, au niveau de la fin du carrefour avec Carrer Taga à gauche, 5 m avant le panneau kilométrique ""N-260 km 121"" sur la droite de la chaussée (structures du côté droit)."
