rider,bib,team,outcome,published_code,exit_stage_number,last_classified_stage
T. POGACAR,1,UAE TEAM EMIRATES XRG,IN_RACE,,,20
I. DEL TORO,2,UAE TEAM EMIRATES XRG,IN_RACE,,,20
F. GROSSSCHARTNER,3,UAE TEAM EMIRATES XRG,IN_RACE,,,20
B. MCNULTY,4,UAE TEAM EMIRATES XRG,DNF,DNF-18,18,17
N. POLITT,5,UAE TEAM EMIRATES XRG,IN_RACE,,,20
F. VERMEERSCH,6,UAE TEAM EMIRATES XRG,IN_RACE,,,20
T. WELLENS,7,UAE TEAM EMIRATES XRG,IN_RACE,,,20
A. YATES,8,UAE TEAM EMIRATES XRG,IN_RACE,,,20
J. VINGEGAARD,11,TEAM VISMA | LEASE A BIKE,DNF,DNF-15,15,14
E. AFFINI,12,TEAM VISMA | LEASE A BIKE,DNF,DNF-19,19,18
B. ARMIRAIL,13,TEAM VISMA | LEASE A BIKE,IN_RACE,,,20
V. CAMPENAERTS,14,TEAM VISMA | LEASE A BIKE,IN_RACE,,,20
P. HAGENES,15,TEAM VISMA | LEASE A BIKE,IN_RACE,,,20
M. JORGENSON,16,TEAM VISMA | LEASE A BIKE,IN_RACE,,,20
S. KUSS,17,TEAM VISMA | LEASE A BIKE,IN_RACE,,,20
D. PIGANZOLI,18,TEAM VISMA | LEASE A BIKE,IN_RACE,,,20
R. EVENEPOEL,21,RED BULL - BORA - HANSGROHE,IN_RACE,,,20
M. CATTANEO,22,RED BULL - BORA - HANSGROHE,IN_RACE,,,20
N. DENZ,23,RED BULL - BORA - HANSGROHE,IN_RACE,,,20
J. HINDLEY,24,RED BULL - BORA - HANSGROHE,IN_RACE,,,20
F. LIPOWITZ,25,RED BULL - BORA - HANSGROHE,DNF,DNF-16,16,15
J. TRATNIK,26,RED BULL - BORA - HANSGROHE,IN_RACE,,,20
T. VAN DIJKE,27,RED BULL - BORA - HANSGROHE,IN_RACE,,,20
M. VAN GILS,28,RED BULL - BORA - HANSGROHE,IN_RACE,,,20
J. AYUSO,31,LIDL-TREK,IN_RACE,,,20
D. GEE,32,LIDL-TREK,IN_RACE,,,20
M. PEDERSEN,33,LIDL-TREK,IN_RACE,,,20
Q. SIMMONS,34,LIDL-TREK,IN_RACE,,,20
M. SKJELMOSE,35,LIDL-TREK,IN_RACE,,,20
T. SKUJINS,36,LIDL-TREK,IN_RACE,,,20
M. VACEK,37,LIDL-TREK,IN_RACE,,,20
C. VERONA,38,LIDL-TREK,IN_RACE,,,20
R. CARAPAZ,41,EF EDUCATION - EASYPOST,IN_RACE,,,20
K. ASGREEN,42,EF EDUCATION - EASYPOST,IN_RACE,,,20
A. BAUDIN,43,EF EDUCATION - EASYPOST,IN_RACE,,,20
B. HEALY,44,EF EDUCATION - EASYPOST,IN_RACE,,,20
