stage_number,km_from_start,waypoint_label,elevation_by_distance_m,window_start,window_end,window_width_s,sun_elevation_deg,sun_azimuth_deg,temperature_c,wind_speed_ms,wind_dir_deg,air_density_kgm3,headwind_ms,crosswind_ms,exposure_class
1,0.00,BARCELONE-Fòrum,8.00,2026-07-04 15:05:00+00:00,2026-07-04 16:55:00+00:00,6600,36.209,269.746,31.00,4.63,194.00,1.1607,4.01,2.31,HEADWIND
1,0.10,Avinguda del Litoral,8.00,2026-07-04 15:05:00+00:00,2026-07-04 16:55:00+00:00,6600,36.210,269.745,31.00,4.63,194.00,1.1610,3.94,2.43,HEADWIND
1,2.60,Carre de l'Arquitecte Sert,12.00,2026-07-04 15:08:00+00:00,2026-07-04 16:58:00+00:00,6600,35.662,270.239,30.90,4.63,194.00,1.1606,2.58,3.84,CROSSWIND
1,2.60,Port Olimpic,12.00,2026-07-04 15:08:00+00:00,2026-07-04 16:58:00+00:00,6600,35.662,270.239,30.90,4.63,194.00,1.1606,2.58,3.84,CROSSWIND
1,2.70,Carrer de Salvador Espriu,12.00,2026-07-04 15:08:00+00:00,2026-07-04 16:58:00+00:00,6600,35.662,270.239,30.90,4.63,194.00,1.1602,1.56,4.36,CROSSWIND
1,3.00,Carrer de Jaume Vicens I Vives,10.00,2026-07-04 15:08:00+00:00,2026-07-04 16:58:00+00:00,6600,35.660,270.239,30.90,4.63,194.00,1.1609,-4.07,2.22,TAILWIND
1,3.10,Carrer de Carmen Amaya,5.00,2026-07-04 15:08:00+00:00,2026-07-04 16:58:00+00:00,6600,35.660,270.238,30.90,4.63,194.00,1.1609,-4.15,2.06,TAILWIND
1,3.50,Passeig de Calvell,7.00,2026-07-04 15:09:00+00:00,2026-07-04 16:59:00+00:00,6600,35.470,270.403,31.00,4.63,194.00,1.1611,-4.49,1.12,TAILWIND
1,4.00,Passeig de Garcia Fària,5.00,2026-07-04 15:09:00+00:00,2026-07-04 16:59:00+00:00,6600,35.467,270.403,31.00,4.63,194.00,1.1608,-4.26,1.80,TAILWIND
1,4.40,Carrer de Bac de Roda,14.00,2026-07-04 15:10:00+00:00,2026-07-04 17:00:00+00:00,6600,35.279,270.566,30.90,4.63,194.00,1.1611,-4.63,0.16,TAILWIND
1,4.90,Carrer de Llull,10.00,2026-07-04 15:10:00+00:00,2026-07-04 17:00:00+00:00,6600,35.281,270.563,30.90,4.63,194.00,1.1605,-3.94,2.44,TAILWIND
1,5.10,Point chrono n°1 / Carrer de Llull,13.00,2026-07-04 15:11:00+00:00,2026-07-04 17:01:00+00:00,6600,35.092,270.727,31.00,4.63,194.00,1.1607,-3.95,2.42,TAILWIND
1,5.60,Passage à niveau : tramway,8.00,2026-07-04 15:11:00+00:00,2026-07-04 17:01:00+00:00,6600,35.089,270.727,31.00,4.63,194.00,1.1608,-3.97,2.38,TAILWIND
1,5.60,Carrer de Josep Pla,8.00,2026-07-04 15:11:00+00:00,2026-07-04 17:01:00+00:00,6600,35.089,270.727,31.00,4.63,194.00,1.1608,-3.97,2.38,TAILWIND
1,6.70,Carrer de Cantàbria,10.00,2026-07-04 15:12:00+00:00,2026-07-04 17:02:00+00:00,6600,34.909,270.879,30.90,4.63,194.00,1.1607,-2.41,3.95,CROSSWIND
