stage_number,source_id,length_km,official_km,length_delta_km,neutralised_km,assembled_parts,oriented,finish_residual_m,km0_residual_m,verdict
1,aso-arcgis,19.513,19.600,-0.087,0.000,1,as-published,,0.00,ACCEPTED
1,cyclingstage.com,19.561,19.600,-0.039,0.000,1,as-published,,71.20,ACCEPTED_THIRD_PARTY
2,cyclingstage.com,169.009,168.500,0.509,,1,as-published,56.99,55.89,ACCEPTED_THIRD_PARTY
3,aso-arcgis,195.900,195.900,0.000,8.620,1,as-published,0.00,133.41,ACCEPTED
3,cyclingstage.com,196.054,195.900,0.154,8.620,1,as-published,16.73,10.22,ACCEPTED_THIRD_PARTY
4,aso-arcgis,181.900,181.900,0.000,8.273,1,as-published,0.00,263.51,ACCEPTED
4,cyclingstage.com,182.203,181.900,0.303,8.273,1,as-published,6.70,14.11,ACCEPTED_THIRD_PARTY
5,aso-arcgis,158.300,158.300,0.000,5.322,1,as-published,0.00,236.86,ACCEPTED
5,cyclingstage.com,158.146,158.300,-0.154,5.322,1,as-published,2.67,42.90,ACCEPTED_THIRD_PARTY
6,aso-arcgis,186.200,186.200,0.000,7.584,1,as-published,0.00,185.53,ACCEPTED
6,cyclingstage.com,186.208,186.200,0.008,7.584,1,as-published,24.88,42.74,ACCEPTED_THIRD_PARTY
7,aso-arcgis,175.100,175.100,0.000,3.565,1,as-published,0.00,89.73,ACCEPTED
7,cyclingstage.com,174.860,175.100,-0.240,3.565,1,as-published,146.19,31.58,ACCEPTED_THIRD_PARTY
8,aso-arcgis,180.400,180.400,0.000,5.926,2,as-published,0.00,296.35,ACCEPTED
8,cyclingstage.com,179.816,180.400,-0.584,5.926,1,as-published,16.05,77.08,ACCEPTED_THIRD_PARTY
9,cyclingstage.com,185.609,154.600,31.009,,1,as-published,3.31,22.29,ACCEPTED_THIRD_PARTY
10,aso-arcgis,166.600,166.600,0.000,7.304,1,as-published,0.00,177.15,ACCEPTED
10,cyclingstage.com,167.090,166.600,0.490,7.304,1,as-published,21.23,74.58,ACCEPTED_THIRD_PARTY
11,aso-arcgis,161.300,161.300,0.000,7.833,1,as-published,0.00,125.33,ACCEPTED
11,cyclingstage.com,161.344,161.300,0.044,7.833,1,as-published,41.13,127.12,ACCEPTED_THIRD_PARTY
12,aso-arcgis,179.100,179.100,0.000,5.002,1,as-published,0.00,359.91,ACCEPTED
12,cyclingstage.com,178.972,179.100,-0.128,5.002,1,as-published,18.52,68.04,ACCEPTED_THIRD_PARTY
13,aso-arcgis,205.800,205.800,0.000,12.293,1,as-published,0.00,266.40,ACCEPTED
13,cyclingstage.com,205.983,205.800,0.183,12.293,1,as-published,62.32,144.64,ACCEPTED_THIRD_PARTY
14,cyclingstage.com,155.572,155.300,0.272,,1,as-published,34.28,115.61,ACCEPTED_THIRD_PARTY
15,aso-arcgis,183.900,183.900,0.000,3.603,1,reversed to put the published finish at the correct end,0.00,305.71,ACCEPTED
15,cyclingstage.com,183.965,183.900,0.065,3.603,1,as-published,17.59,169.87,ACCEPTED_THIRD_PARTY
16,aso-arcgis,26.037,26.100,-0.063,0.000,1,as-published,0.00,0.00,ACCEPTED
16,cyclingstage.com,26.030,26.100,-0.070,0.000,1,as-published,43.00,8.57,ACCEPTED_THIRD_PARTY
17,aso-arcgis,174.700,174.700,0.000,8.565,1,as-published,0.00,272.92,ACCEPTED
17,cyclingstage.com,174.876,174.700,0.176,8.565,1,as-published,13.33,166.39,ACCEPTED_THIRD_PARTY
18,aso-arcgis,185.200,185.200,0.000,10.438,2,as-published,0.00,232.33,ACCEPTED
18,cyclingstage.com,185.348,185.200,0.148,10.438,1,as-published,3.91,55.82,ACCEPTED_THIRD_PARTY
19,aso-arcgis,127.900,127.900,0.000,5.470,1,as-published,9.73,139.15,ACCEPTED
19,cyclingstage.com,128.225,127.900,0.325,5.470,1,as-published,3.25,33.44,ACCEPTED_THIRD_PARTY
20,aso-arcgis,170.900,170.900,0.000,6.390,1,reversed to put the published finish at the correct end,0.00,309.77,ACCEPTED
20,cyclingstage.com,171.922,170.900,1.022,6.390,1,as-published,71.94,92.39,ACCEPTED_THIRD_PARTY
21,cyclingstage.com,132.528,88.700,43.828,,1,as-published,53.78,24.95,ACCEPTED_THIRD_PARTY
