stage_number,rank,rider,bib,team,finish_time_s,gap_s,bonus_s,penalty_s,status
1,1,J. VINGEGAARD,11,TEAM VISMA | LEASE A BIKE,1307,0,0,0,OBSERVED_FACT
1,2,F. GANNA,84,NETCOMPANY INEOS CYCLING TEAM,1315,8,0,0,OBSERVED_FACT
1,3,T. POGACAR,1,UAE TEAM EMIRATES XRG,1319,12,0,0,OBSERVED_FACT
1,4,J. AYUSO,31,LIDL-TREK,1323,16,0,0,OBSERVED_FACT
1,5,R. EVENEPOEL,21,RED BULL - BORA - HANSGROHE,1326,19,0,0,OBSERVED_FACT
1,6,I. DEL TORO,2,UAE TEAM EMIRATES XRG,1333,26,0,0,OBSERVED_FACT
1,7,D. PIGANZOLI,18,TEAM VISMA | LEASE A BIKE,1335,28,0,0,OBSERVED_FACT
1,8,F. LIPOWITZ,25,RED BULL - BORA - HANSGROHE,1342,35,0,0,OBSERVED_FACT
1,9,T. FOSS,83,NETCOMPANY INEOS CYCLING TEAM,1345,38,0,0,OBSERVED_FACT
1,10,P. SEIXAS,51,DECATHLON CMA CGM TEAM,1346,39,0,0,OBSERVED_FACT
1,11,M. VAN DER POEL,101,ALPECIN-PREMIER TECH,1346,39,0,0,OBSERVED_FACT
1,12,R. GREGOIRE,181,GROUPAMA-FDJ UNITED,1348,41,0,0,OBSERVED_FACT
1,13,A. TIBERI,77,BAHRAIN VICTORIOUS,1354,47,0,0,OBSERVED_FACT
1,14,M. RICCITELLO,58,DECATHLON CMA CGM TEAM,1357,50,0,0,OBSERVED_FACT
1,15,L. MARTINEZ,71,BAHRAIN VICTORIOUS,1357,50,0,0,OBSERVED_FACT
1,16,M. MATTHEWS,115,TEAM JAYCO ALULA,1358,51,0,0,OBSERVED_FACT
1,17,A. BAUDIN,43,EF EDUCATION - EASYPOST,1364,57,0,0,OBSERVED_FACT
1,18,T. PIDCOCK,171,PINARELLO-Q36.5 PRO CYCLING TEAM,1364,57,0,0,OBSERVED_FACT
1,19,I. VAN WILDER,97,SOUDAL QUICK-STEP,1365,58,0,0,OBSERVED_FACT
1,20,T. JOHANNESSEN,121,UNO-X MOBILITY,1367,60,0,0,OBSERVED_FACT
1,21,T. ARENSMAN,82,NETCOMPANY INEOS CYCLING TEAM,1368,61,0,0,OBSERVED_FACT
1,22,J. JEGAT,201,TOTALENERGIES,1369,62,0,0,OBSERVED_FACT
1,23,M. VACEK,37,LIDL-TREK,1379,72,0,0,OBSERVED_FACT
1,24,A. MOLENAAR,224,CAJA RURAL-SEGUROS RGA,1379,72,0,0,OBSERVED_FACT
1,25,Y. VOISARD,198,TUDOR PRO CYCLING TEAM,1381,74,0,0,OBSERVED_FACT
1,26,K. VAUQUELIN,88,NETCOMPANY INEOS CYCLING TEAM,1381,74,0,0,OBSERVED_FACT
1,27,G. BENNETT,133,NSN CYCLING TEAM,1383,76,0,0,OBSERVED_FACT
1,28,I. IZAGIRRE,161,COFIDIS,1384,77,0,0,OBSERVED_FACT
1,29,R. GARCIA,144,MOVISTAR TEAM,1385,78,0,0,OBSERVED_FACT
1,30,J. ALAPHILIPPE,191,TUDOR PRO CYCLING TEAM,1392,85,0,0,OBSERVED_FACT
1,31,T. TRÆEN,127,UNO-X MOBILITY,1396,89,0,0,OBSERVED_FACT
1,32,G. STEINHAUSER,46,EF EDUCATION - EASYPOST,1397,90,0,0,OBSERVED_FACT
1,33,M. SKJELMOSE,35,LIDL-TREK,1400,93,0,0,OBSERVED_FACT
1,34,L. VAN EETVELT,156,LOTTO INTERMARCHE,1403,96,0,0,OBSERVED_FACT
1,35,R. CARAPAZ,41,EF EDUCATION - EASYPOST,1403,96,0,0,OBSERVED_FACT
1,36,J. PARRA,228,CAJA RURAL-SEGUROS RGA,1405,98,0,0,OBSERVED_FACT
1,37,P. CASTRILLO,142,MOVISTAR TEAM,1418,111,0,0,OBSERVED_FACT
1,38,J. CEPEDA,143,MOVISTAR TEAM,1418,111,0,0,OBSERVED_FACT
1,39,A. BALDERSTONE,222,CAJA RURAL-SEGUROS RGA,1419,112,0,0,OBSERVED_FACT
1,40,C. UIJTDEBROEKS,141,MOVISTAR TEAM,1420,113,0,0,OBSERVED_FACT
1,41,R. DHONDT,215,TEAM PICNIC POSTNL,1422,115,0,0,OBSERVED_FACT
1,42,L. PLAPP,117,TEAM JAYCO ALULA,1424,117,0,0,OBSERVED_FACT
1,43,S. KUSS,17,TEAM VISMA | LEASE A BIKE,1425,118,0,0,OBSERVED_FACT
1,44,A. PARET PEINTRE,56,DECATHLON CMA CGM TEAM,1429,122,0,0,OBSERVED_FACT
1,45,D. GEE,32,LIDL-TREK,1430,123,0,0,OBSERVED_FACT
1,46,M. VAN GILS,28,RED BULL - BORA - HANSGROHE,1431,124,0,0,OBSERVED_FACT
1,47,D. VAN BAARLE,95,SOUDAL QUICK-STEP,1433,126,0,0,OBSERVED_FACT
1,48,M. LE BERRE,206,TOTALENERGIES,1433,126,0,0,OBSERVED_FACT
1,49,S. QUINN,45,EF EDUCATION - EASYPOST,1435,128,0,0,OBSERVED_FACT
1,50,D. GODON,85,NETCOMPANY INEOS CYCLING TEAM,1437,130,0,0,OBSERVED_FACT
1,51,J. BERCKMOES,153,LOTTO INTERMARCHE,1437,130,0,0,OBSERVED_FACT
1,52,E. VERSTRYNGE,108,ALPECIN-PREMIER TECH,1438,131,0,0,OBSERVED_FACT
1,53,J. TARLING,87,NETCOMPANY INEOS CYCLING TEAM,1441,134,0,0,OBSERVED_FACT
1,54,S. HIGUITA,61,XDS ASTANA TEAM,1445,138,0,0,OBSERVED_FACT
1,55,J. HINDLEY,24,RED BULL - BORA - HANSGROHE,1451,144,0,0,OBSERVED_FACT
1,56,M. HIRSCHI,194,TUDOR PRO CYCLING TEAM,1452,145,0,0,OBSERVED_FACT
1,57,B. MCNULTY,4,UAE TEAM EMIRATES XRG,1453,146,0,0,OBSERVED_FACT
1,58,C. BRAZ AFONSO,183,GROUPAMA-FDJ UNITED,1457,150,0,0,OBSERVED_FACT
1,59,M. JORGENSON,16,TEAM VISMA | LEASE A BIKE,1457,150,0,0,OBSERVED_FACT
