bib,rider,team
1,T. POGACAR,UAE TEAM EMIRATES XRG
2,I. DEL TORO,UAE TEAM EMIRATES XRG
3,F. GROSSSCHARTNER,UAE TEAM EMIRATES XRG
4,B. MCNULTY,UAE TEAM EMIRATES XRG
5,N. POLITT,UAE TEAM EMIRATES XRG
6,F. VERMEERSCH,UAE TEAM EMIRATES XRG
7,T. WELLENS,UAE TEAM EMIRATES XRG
8,A. YATES,UAE TEAM EMIRATES XRG
11,J. VINGEGAARD,TEAM VISMA | LEASE A BIKE
12,E. AFFINI,TEAM VISMA | LEASE A BIKE
13,B. ARMIRAIL,TEAM VISMA | LEASE A BIKE
14,V. CAMPENAERTS,TEAM VISMA | LEASE A BIKE
15,P. HAGENES,TEAM VISMA | LEASE A BIKE
16,M. JORGENSON,TEAM VISMA | LEASE A BIKE
17,S. KUSS,TEAM VISMA | LEASE A BIKE
18,D. PIGANZOLI,TEAM VISMA | LEASE A BIKE
21,R. EVENEPOEL,RED BULL - BORA - HANSGROHE
22,M. CATTANEO,RED BULL - BORA - HANSGROHE
23,N. DENZ,RED BULL - BORA - HANSGROHE
24,J. HINDLEY,RED BULL - BORA - HANSGROHE
25,F. LIPOWITZ,RED BULL - BORA - HANSGROHE
26,J. TRATNIK,RED BULL - BORA - HANSGROHE
27,T. VAN DIJKE,RED BULL - BORA - HANSGROHE
28,M. VAN GILS,RED BULL - BORA - HANSGROHE
31,J. AYUSO,LIDL-TREK
32,D. GEE,LIDL-TREK
33,M. PEDERSEN,LIDL-TREK
34,Q. SIMMONS,LIDL-TREK
35,M. SKJELMOSE,LIDL-TREK
36,T. SKUJINS,LIDL-TREK
37,M. VACEK,LIDL-TREK
38,C. VERONA,LIDL-TREK
41,R. CARAPAZ,EF EDUCATION - EASYPOST
42,K. ASGREEN,EF EDUCATION - EASYPOST
43,A. BAUDIN,EF EDUCATION - EASYPOST
44,B. HEALY,EF EDUCATION - EASYPOST
45,S. QUINN,EF EDUCATION - EASYPOST
46,G. STEINHAUSER,EF EDUCATION - EASYPOST
47,M. VALGREN,EF EDUCATION - EASYPOST
48,M. WALKER,EF EDUCATION - EASYPOST
51,P. SEIXAS,DECATHLON CMA CGM TEAM
52,T. BENOOT,DECATHLON CMA CGM TEAM
53,C. BOL,DECATHLON CMA CGM TEAM
54,D. HOOLE,DECATHLON CMA CGM TEAM
55,O. KOOIJ,DECATHLON CMA CGM TEAM
56,A. PARET PEINTRE,DECATHLON CMA CGM TEAM
57,N. PRODHOMME,DECATHLON CMA CGM TEAM
58,M. RICCITELLO,DECATHLON CMA CGM TEAM
61,S. HIGUITA,XDS ASTANA TEAM
62,D. BALLERINI,XDS ASTANA TEAM
63,A. GATE,XDS ASTANA TEAM
64,M. KANTER,XDS ASTANA TEAM
65,H. TEJADA,XDS ASTANA TEAM
66,M. TEUNISSEN,XDS ASTANA TEAM
67,S. VELASCO,XDS ASTANA TEAM
68,N. VINOKUROV,XDS ASTANA TEAM
71,L. MARTINEZ,BAHRAIN VICTORIOUS
72,P. BAUHAUS,BAHRAIN VICTORIOUS
73,D. CARUSO,BAHRAIN VICTORIOUS
74,K. GRADEK,BAHRAIN VICTORIOUS
75,M. MOHORIC,BAHRAIN VICTORIOUS
76,R. STANNARD,BAHRAIN VICTORIOUS
77,A. TIBERI,BAHRAIN VICTORIOUS
78,V. VAN MECHELEN,BAHRAIN VICTORIOUS
81,E. BERNAL,NETCOMPANY INEOS CYCLING TEAM
82,T. ARENSMAN,NETCOMPANY INEOS CYCLING TEAM
83,T. FOSS,NETCOMPANY INEOS CYCLING TEAM
84,F. GANNA,NETCOMPANY INEOS CYCLING TEAM
