after_stage,classification,authority_tier,is_partial,rank,rider_label,team_label,nationality,time_s,gap_s,points
7,GENERAL,TIER_2_ENCYCLOPEDIC,True,1,Isaac del Toro,UAE Team Emirates XRG,MEX,100934,,
7,GENERAL,TIER_2_ENCYCLOPEDIC,True,2,Matteo Jorgenson,Visma–Lease a Bike,USA,,40,
7,GENERAL,TIER_2_ENCYCLOPEDIC,True,3,Giulio Pellizzari,Red Bull–Bora–Hansgrohe,ITA,,42,
7,GENERAL,TIER_2_ENCYCLOPEDIC,True,4,Tobias Halland Johannessen,Uno-X Mobility,NOR,,74,
7,GENERAL,TIER_2_ENCYCLOPEDIC,True,5,Primož Roglič,Red Bull–Bora–Hansgrohe,SLO,,81,
7,GENERAL,TIER_2_ENCYCLOPEDIC,True,6,Giulio Ciccone,Lidl–Trek,ITA,,86,
7,GENERAL,TIER_2_ENCYCLOPEDIC,True,7,Santiago Buitrago,Team Bahrain Victorious,COL,,109,
7,GENERAL,TIER_2_ENCYCLOPEDIC,True,8,Ben Healy,EF Education–EasyPost,IRL,,115,
7,GENERAL,TIER_2_ENCYCLOPEDIC,True,9,Magnus Sheffield,INEOS Grenadiers,USA,,122,
7,GENERAL,TIER_2_ENCYCLOPEDIC,True,10,Alessandro Pinarello,NSN Cycling Team,ITA,,126,
7,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,1,Diego Pablo Sevilla,Team Polti VisitMalta,ESP,,,33
7,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,2,Joan Bou,Caja Rural–Seguros RGA,ESP,,,21
7,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,3,Isaac del Toro,UAE Team Emirates XRG,MEX,,,18
7,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,4,Timo Kielich,Visma–Lease a Bike,BEL,,,17
7,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,5,Michael Valgren,EF Education–EasyPost,DEN,,,15
7,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,6,Jack Haig,INEOS Grenadiers,AUS,,,14
