after_stage,classification,authority_tier,is_partial,rank,rider_label,team_label,nationality,time_s,gap_s,points
5,GENERAL,TIER_2_ENCYCLOPEDIC,True,1,Giulio Pellizzari,Red Bull–Bora–Hansgrohe,ITA,68512,,
5,GENERAL,TIER_2_ENCYCLOPEDIC,True,2,Egan Bernal,INEOS Grenadiers,COL,,40,
5,GENERAL,TIER_2_ENCYCLOPEDIC,True,3,Thymen Arensman,INEOS Grenadiers,NED,,50,
5,GENERAL,TIER_2_ENCYCLOPEDIC,True,4,Michael Storer,Tudor Pro Cycling Team,AUS,,69,
5,GENERAL,TIER_2_ENCYCLOPEDIC,True,5,Mathys Rondel,Tudor Pro Cycling Team,FRA,,105,
5,GENERAL,TIER_2_ENCYCLOPEDIC,True,6,Jakob Omrzel,Team Bahrain Victorious,SLO,,115,
5,GENERAL,TIER_2_ENCYCLOPEDIC,True,7,Chris Harper,Pinarello–Q36.5 Pro Cycling Team,AUS,,115,
5,GENERAL,TIER_2_ENCYCLOPEDIC,True,8,Ben O'Connor,Team Jayco–AlUla,AUS,,119,
5,GENERAL,TIER_2_ENCYCLOPEDIC,True,9,Aleksandr Vlasov,Red Bull–Bora–Hansgrohe,,,171,
5,GENERAL,TIER_2_ENCYCLOPEDIC,True,10,Giovanni Aleotti,Red Bull–Bora–Hansgrohe,ITA,,191,
5,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,1,Lennart Jasch,Tudor Pro Cycling Team,GER,,,22
5,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,2,Sean Quinn,EF Education–EasyPost,USA,,,20
5,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,3,Darren Rafferty,EF Education–EasyPost,IRL,,,16
5,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,4,Juan Felipe Rodriguez,EF Education–EasyPost,COL,,,14
5,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,5,Sam Oomen,Lidl–Trek,NED,,,12
5,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,6,Davide Bais,Team Polti VisitMalta,ITA,,,11
5,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,7,Tom Pidcock,Pinarello–Q36.5 Pro Cycling Team,GBR,,,8
