rider,bib,team,outcome,published_code,exit_stage_number,last_classified_stage
T. POGACAR,1,,IN_RACE,,,20
I. DEL TORO,2,,IN_RACE,,,20
F. GROSSSCHARTNER,3,,IN_RACE,,,20
B. MCNULTY,4,,DNF,DNF-18,18,17
N. POLITT,5,,IN_RACE,,,20
F. VERMEERSCH,6,,IN_RACE,,,20
T. WELLENS,7,,IN_RACE,,,20
A. YATES,8,,IN_RACE,,,20
J. VINGEGAARD,11,,DNF,DNF-15,15,14
E. AFFINI,12,,DNF,DNF-19,19,18
B. ARMIRAIL,13,,IN_RACE,,,20
V. CAMPENAERTS,14,,IN_RACE,,,20
P. HAGENES,15,,IN_RACE,,,20
M. JORGENSON,16,,IN_RACE,,,20
S. KUSS,17,,IN_RACE,,,20
D. PIGANZOLI,18,,IN_RACE,,,20
R. EVENEPOEL,21,,IN_RACE,,,20
M. CATTANEO,22,,IN_RACE,,,20
N. DENZ,23,,IN_RACE,,,20
J. HINDLEY,24,,IN_RACE,,,20
F. LIPOWITZ,25,,DNF,DNF-16,16,15
J. TRATNIK,26,,IN_RACE,,,20
T. VAN DIJKE,27,,IN_RACE,,,20
M. VAN GILS,28,,IN_RACE,,,20
J. AYUSO,31,,IN_RACE,,,20
D. GEE,32,,IN_RACE,,,20
M. PEDERSEN,33,,IN_RACE,,,20
Q. SIMMONS,34,,IN_RACE,,,20
M. SKJELMOSE,35,,IN_RACE,,,20
T. SKUJINS,36,,IN_RACE,,,20
M. VACEK,37,,IN_RACE,,,20
C. VERONA,38,,IN_RACE,,,20
R. CARAPAZ,41,,IN_RACE,,,20
K. ASGREEN,42,,IN_RACE,,,20
A. BAUDIN,43,,IN_RACE,,,20
B. HEALY,44,,IN_RACE,,,20
S. QUINN,45,,IN_RACE,,,20
G. STEINHAUSER,46,,IN_RACE,,,20
M. VALGREN,47,,IN_RACE,,,20
M. WALKER,48,,IN_RACE,,,20
P. SEIXAS,51,,IN_RACE,,,20
T. BENOOT,52,,IN_RACE,,,20
C. BOL,53,,IN_RACE,,,20
D. HOOLE,54,,IN_RACE,,,20
O. KOOIJ,55,,IN_RACE,,,20
A. PARET PEINTRE,56,,IN_RACE,,,20
N. PRODHOMME,57,,IN_RACE,,,20
M. RICCITELLO,58,,IN_RACE,,,20
S. HIGUITA,61,,IN_RACE,,,20
D. BALLERINI,62,,IN_RACE,,,20
A. GATE,63,,IN_RACE,,,20
M. KANTER,64,,IN_RACE,,,20
H. TEJADA,65,,IN_RACE,,,20
M. TEUNISSEN,66,,IN_RACE,,,20
S. VELASCO,67,,IN_RACE,,,20
N. VINOKUROV,68,,IN_RACE,,,20
L. MARTINEZ,71,,IN_RACE,,,20
P. BAUHAUS,72,,IN_RACE,,,20
D. CARUSO,73,,IN_RACE,,,20
K. GRADEK,74,,IN_RACE,,,20
M. MOHORIC,75,,IN_RACE,,,20
R. STANNARD,76,,IN_RACE,,,20
A. TIBERI,77,,IN_RACE,,,20
V. VAN MECHELEN,78,,IN_RACE,,,20
E. BERNAL,81,,IN_RACE,,,20
T. ARENSMAN,82,,IN_RACE,,,20
T. FOSS,83,,IN_RACE,,,20
F. GANNA,84,,IN_RACE,,,20
D. GODON,85,,IN_RACE,,,20
M. KWIATKOWSKI,86,,IN_RACE,,,20
J. TARLING,87,,IN_RACE,,,20
K. VAUQUELIN,88,,IN_RACE,,,20
T. MERLIER,91,,DNF,DNF-15,15,14
P. EENKHOORN,92,,IN_RACE,,,20
V. PARET PEINTRE,93,,IN_RACE,,,20
J. STUYVEN,94,,IN_RACE,,,20
D. VAN BAARLE,95,,IN_RACE,,,20
B. VAN LERBERGHE,96,,DNF,DNF-6,6,5
I. VAN WILDER,97,,DNF,DNF-20,20,19
L. VERVAEKE,98,,IN_RACE,,,20
M. VAN DER POEL,101,,IN_RACE,,,20
R. DEBRUYNE,102,,DNS,DNS-14,14,13
S. DILLIER,103,,IN_RACE,,,20
T. MARSMAN,104,,IN_RACE,,,20
J. PHILIPSEN,105,,IN_RACE,,,20
