after_stage,classification,authority_tier,is_partial,rank,rider_label,team_label,nationality,time_s,gap_s,points
5,GENERAL,TIER_2_ENCYCLOPEDIC,True,1,Juan Ayuso,Lidl–Trek,ESP,57072,,
5,GENERAL,TIER_2_ENCYCLOPEDIC,True,2,Paul Seixas,Decathlon CMA CGM,FRA,,14,
5,GENERAL,TIER_2_ENCYCLOPEDIC,True,3,João Almeida,UAE Team Emirates XRG,POR,,59,
5,GENERAL,TIER_2_ENCYCLOPEDIC,True,4,Oscar Onley,INEOS Grenadiers,GBR,,82,
5,GENERAL,TIER_2_ENCYCLOPEDIC,True,5,Kévin Vauquelin,INEOS Grenadiers,FRA,,100,
5,GENERAL,TIER_2_ENCYCLOPEDIC,True,6,Matthew Riccitello,Decathlon CMA CGM,USA,,113,
5,GENERAL,TIER_2_ENCYCLOPEDIC,True,7,Daniel Martínez,Red Bull–Bora–Hansgrohe,COL,,113,
5,GENERAL,TIER_2_ENCYCLOPEDIC,True,8,Florian Lipowitz,Red Bull–Bora–Hansgrohe,GER,,135,
5,GENERAL,TIER_2_ENCYCLOPEDIC,True,9,Thymen Arensman,INEOS Grenadiers,NED,,138,
5,GENERAL,TIER_2_ENCYCLOPEDIC,True,10,Yannis Voisard,Tudor Pro Cycling Team,SUI,,155,
5,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,1,Tomás Contte,Aviludo–Louletano–Loulé,ARG,,,18
5,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,2,Juan Ayuso,Lidl–Trek,ESP,,,14
5,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,3,Paul Seixas,Decathlon CMA CGM,FRA,,,13
5,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,4,Maximilian Schachmann,Soudal–Quick-Step,GER,,,9
5,MOUNTAINS,TIER_2_ENCYCLOPEDIC,True,5,João Almeida,UAE Team Emirates XRG,POR,,,8
