stage_number,source_id,length_km,official_km,length_delta_km,neutralised_km,assembled_parts,oriented,finish_residual_m,km0_residual_m,verdict
1,cyclingstage.com,9.784,9.000,0.784,,1,as-published,,,ACCEPTED_THIRD_PARTY
2,cyclingstage.com,216.607,215.500,1.107,,1,as-published,,,ACCEPTED_THIRD_PARTY
3,cyclingstage.com,164.936,166.700,-1.764,,1,as-published,,,ACCEPTED_THIRD_PARTY
4,cyclingstage.com,106.205,104.900,1.305,,1,as-published,,,ACCEPTED_THIRD_PARTY
5,cyclingstage.com,170.898,171.100,-0.202,,1,as-published,,,ACCEPTED_THIRD_PARTY
6,cyclingstage.com,175.395,176.800,-1.405,,1,as-published,,,ACCEPTED_THIRD_PARTY
7,cyclingstage.com,150.016,149.900,0.116,,1,as-published,,,ACCEPTED_THIRD_PARTY
8,cyclingstage.com,165.686,176.400,-10.714,,1,as-published,,,ACCEPTED_THIRD_PARTY
9,cyclingstage.com,188.695,187.500,1.195,,1,as-published,,,ACCEPTED_THIRD_PARTY
10,cyclingstage.com,183.895,184.500,-0.605,,1,as-published,,,ACCEPTED_THIRD_PARTY
11,cyclingstage.com,154.275,156.100,-1.825,,1,as-published,,,ACCEPTED_THIRD_PARTY
12,cyclingstage.com,166.467,166.500,-0.033,,1,as-published,,,ACCEPTED_THIRD_PARTY
13,cyclingstage.com,192.796,193.200,-0.404,,1,as-published,,,ACCEPTED_THIRD_PARTY
14,cyclingstage.com,151.606,152.700,-1.094,,1,as-published,,,ACCEPTED_THIRD_PARTY
15,cyclingstage.com,181.000,181.200,-0.200,,1,as-published,,,ACCEPTED_THIRD_PARTY
16,cyclingstage.com,189.128,186.000,3.128,,1,as-published,,,ACCEPTED_THIRD_PARTY
17,cyclingstage.com,196.121,189.200,6.921,,1,as-published,,,ACCEPTED_THIRD_PARTY
18,cyclingstage.com,32.012,32.500,-0.488,,1,as-published,,,ACCEPTED_THIRD_PARTY
19,cyclingstage.com,205.660,205.100,0.560,,1,as-published,,,ACCEPTED_THIRD_PARTY
20,cyclingstage.com,186.797,187.000,-0.203,,1,as-published,,,ACCEPTED_THIRD_PARTY
21,cyclingstage.com,96.565,99.400,-2.835,,1,as-published,,,ACCEPTED_THIRD_PARTY
